Line,Env,DTHD,DTMT,GY,Height
GID7630430,Bed5IR,80,115,6.839837973,109
GID7630431,Bed5IR,80,116,6.975624056,105
GID7630458,Bed5IR,80,122,7.16252523,96
GID7630467,Bed5IR,78,116,7.093627743,108
GID7630468,Bed5IR,79,121,7.000400366,96
GID7630522,Bed5IR,64,108,6.56977323,98
GID7630526,Bed5IR,66,112,5.999397276,100
GID7630530,Bed5IR,64,110,6.304078926,101
GID7630538,Bed5IR,75,114,6.768058113,107
GID7630543,Bed5IR,71,114,6.589043693,112
GID7630550,Bed5IR,71,112,6.90458823,113
GID7630551,Bed5IR,79,120,7.02757694,108
GID7630552,Bed5IR,79,118,7.128393456,106
GID7630553,Bed5IR,68,113,6.750275716,113
GID7630565,Bed5IR,68,111,6.276103273,108
GID7630604,Bed5IR,68,107,5.950776643,104
GID7630628,Bed5IR,77,115,6.212453166,100
GID7630630,Bed5IR,80,119,5.842519793,92
GID7630631,Bed5IR,83,123,6.723976083,99
GID7630666,Bed5IR,77,114,6.2466787,102
GID7630670,Bed5IR,76,112,6.14020753,108
GID7630671,Bed5IR,77,112,6.212601973,105
GID7630701,Bed5IR,86,127,6.6439925,108
GID7630704,Bed5IR,75,114,6.293701606,97
GID7630737,Bed5IR,76,120,6.863482333,105
GID7630743,Bed5IR,79,122,6.846964793,102
GID7630749,Bed5IR,77,116,6.72568736,107
GID7630774,Bed5IR,75,115,6.589008436,98
GID7630775,Bed5IR,94,135,6.984982976,108
GID7630784,Bed5IR,77,117,6.565050563,103
GID7630785,Bed5IR,78,125,6.682905443,98
GID7630804,Bed5IR,71,114,6.673530623,95
GID7630830,Bed5IR,67,108,6.901279226,96
GID7630834,Bed5IR,71,113,7.210871496,98
GID7630850,Bed5IR,75,115,6.910695178,100
GID7630870,Bed5IR,79,126,7.209722175,107
GID7630949,Bed5IR,76,116,6.780730172,100
GID7630971,Bed5IR,84,124,6.985805092,99
GID7630995,Bed5IR,67,109,6.510665406,97
GID7630998,Bed5IR,68,113,6.405607899,102
GID7631006,Bed5IR,68,107,6.576325218,100
GID7631053,Bed5IR,74,113,6.497457685,93
GID7631061,Bed5IR,76,114,6.704670968,97
GID7631063,Bed5IR,76,114,6.841201085,104
GID7631090,Bed5IR,81,117,6.863522085,103
GID7631094,Bed5IR,70,108,6.433396415,106
GID7631140,Bed5IR,71,110,6.780859982,97
GID7631147,Bed5IR,84,121,7.413809138,101
GID7631158,Bed5IR,76,113,6.297725715,110
GID7631163,Bed5IR,68,107,6.369301721,102
GID7631173,Bed5IR,86,125,7.206264818,110
GID7631174,Bed5IR,79,117,6.370789788,101
GID7631181,Bed5IR,74,113,6.131955088,110
GID7631182,Bed5IR,72,112,6.355165088,100
GID7631184,Bed5IR,74,110,6.380759835,111
GID7631185,Bed5IR,70,107,6.496085001,102
GID7631187,Bed5IR,69,108,6.407396228,98
GID7631188,Bed5IR,76,117,6.658730688,102
GID7631193,Bed5IR,76,113,6.810513488,110
GID7631195,Bed5IR,76,115,6.671081641,107
GID7631201,Bed5IR,84,123,7.448487957,106
GID7631237,Bed5IR,82,127,6.777793669,111
GID7631238,Bed5IR,77,118,6.738359903,109
GID7631240,Bed5IR,73,114,6.454883203,107
GID7631248,Bed5IR,68,113,6.562024003,106
GID7631294,Bed5IR,79,123,6.633979264,101
GID7631314,Bed5IR,78,117,6.365723403,105
