Line,Env,Daysto50Flower,DaystoMaturity,AvePlantHeight,Biomass,PlantStand
ICCV96323,1,32.33333333,102.3333333,38.43333333,91,11
ICCV96325,1,32,101.6666667,40.53333333,247,10.33333333
ICCV96329,1,32,101,41.13333333,218.3333333,11.66666667
ICCV96331,1,32.66666667,101,34.43333333,175,11.33333333
ICCV97016,1,48.33333333,104.6666667,34.66666667,378,11.66666667
ICCV97022,1,41.33333333,103.3333333,32.43333333,274.3333333,10.66666667
ICCV97024,1,36.66666667,104,28,180.3333333,11
ICCV97033,1,46.33333333,105.3333333,43,350,11.33333333
ICCV97103,1,48.33333333,104.6666667,36.56666667,364,12.66666667
ICCV97106,1,45.66666667,105.6666667,33.46666667,158.3333333,10
ICCV97107,1,47.33333333,101.6666667,34,152.6666667,11
ICCV97108,1,47.33333333,104.6666667,36.53333333,251.6666667,11.33333333
ICCV97109,1,48,110,35.1,160.6666667,11
ICCV97110,1,48.66666667,104.3333333,40.2,159,11
ICCV97114,1,48,104.6666667,39.3,328.6666667,11.33333333
ICCV97115,1,48,103.3333333,39.76666667,233,11.33333333
ICCV97117,1,46.33333333,108,33.1,282.6666667,12
ICCV97119,1,47.66666667,105.6666667,29.56666667,299.3333333,12.33333333
ICCV97125,1,48,102.6666667,34.9,232.6666667,11.66666667
ICCV97126,1,46.66666667,102,44.53333333,338,12
ICCV97127,1,48,110.6666667,43.33333333,209,11.66666667
ICCV97301,1,37.66666667,101.6666667,43.46666667,322.6666667,11.66666667
ICCV97302,1,32,101.3333333,40.13333333,211,11
ICCV97306,1,37.66666667,105,39.2,259.6666667,11.66666667
ICCV97308,1,36,104.6666667,33.56666667,181.6666667,11
ICCV97309,1,34.66666667,106.3333333,37.9,178,12.33333333
ICCV97314,1,33.66666667,102,38.9,291,11
ICCV97402,1,48,106.6666667,36.8,258.3333333,11.66666667
ICCV97404,1,48.66666667,106.3333333,37.1,277,11.33333333
JG11,1,43,103.3333333,33.33333333,323.3333333,12.33333333
ICCC37,2,67,148,61.65,392.5,90
ICCC42,2,76.5,147.5,54.35,405,80
ICCV00101,2,67,146.5,55.65,435,75
ICCV00102,2,65.5,147,50.65,507.5,75
ICCV00103,2,78.5,151,52.35,420,80
ICCV00105,2,67.5,151.5,62.85,322.5,100
ICCV00106,2,76,156.5,53,360,100
ICCV00107,2,77.5,156.5,54.65,412.5,100
ICCV00108,2,67,146.5,58,552.5,95
ICCV00109,2,52.5,146.5,53.5,445,95
ICCV00110,2,52.5,147.5,59,470,100
